name,country,subcountry,geonameid
Shibirghān,Afghanistan,,1125444
Shahrak,Afghanistan,,1125896
Sar-e Pul,Afghanistan,,1127110
Sang-e Chārak,Afghanistan,,1127628
Aībak,Afghanistan,,1127768
Rustāq,Afghanistan,,1128265
Qarqīn,Afghanistan,,1129516
Qarāwul,Afghanistan,,1129648
Pul-e Khumrī,Afghanistan,,1130490
Paghmān,Afghanistan,,1131316
Nīlī,Afghanistan,,1131833
Nahrīn,Afghanistan,,1132495
Maymana,Afghanistan,,1133453
Mehtar Lām,Afghanistan,,1133574
Mazār-e Sharīf,Afghanistan,,1133616
Lashkar Gāh,Afghanistan,,1134720
Kushk,Afghanistan,,1135158
Kunduz,Afghanistan,,1135689
Khōst,Afghanistan,,1136469
Khulm,Afghanistan,,1136575
Khāsh,Afghanistan,,1136863
Khān Neshīn,Afghanistan,,1137079
Khanabad,Afghanistan,,1137168
Karukh,Afghanistan,,1137807
Kandahār,Afghanistan,,1138336
Kabul,Afghanistan,,1138958
Jalālābād,Afghanistan,,1139715
Jabal os Saraj,Afghanistan,,1139807
Herāt,Afghanistan,,1140026
Ghormach,Afghanistan,,1141089
Ghazni,Afghanistan,,1141269
Gereshk,Afghanistan,,1141540
Gardez,Afghanistan,,1141857
Fayzabad,Afghanistan,,1142170
Farah,Afghanistan,,1142264
Eslam Qaleh,Afghanistan,,1142404
Charikar,Afghanistan,,1145352
Baraki Barak,Afghanistan,,1147066
Bāmyān,Afghanistan,,1147242
Balkh,Afghanistan,,1147290
Baghlān,Afghanistan,,1147540
Ārt Khwājah,Afghanistan,,1148106
Āsmār,Afghanistan,,1148205
Asadābād,Afghanistan,,1148311
Andkhōy,Afghanistan,,1148658
Bāzārak,Afghanistan,,1429434
Markaz-e Woluswalī-ye Āchīn,Afghanistan,,1469706
Saint John’s,Antigua and Barbuda,,3576022
The Valley,Anguilla,,3573374
Sarandë,Albania,,363243
Pogradec,Albania,,781988
Kukës,Albania,,782661
Korçë,Albania,,782756
Gjirokastër,Albania,,783148
Elbasan,Albania,,783263
Burrel,Albania,,783493
Vlorë,Albania,,3183719
Tirana,Albania,,3183875
Shkodër,Albania,,3184081
Patos Fshat,Albania,,3184517
Patos,Albania,,3184518
Lushnjë,Albania,,3184862
Lezhë,Albania,,3184935
Laç,Albania,,3185012
Krujë,Albania,,3185082
Kavajë,Albania,,3185211
Fier-Çifçi,Albania,,3185670
Fier,Albania,,3185672
Durrës,Albania,,3185728
Berat,Albania,,3186084
Kapan,Armenia,,174875
Goris,Armenia,,174895
Artashat,Armenia,,174979
Ararat,Armenia,,174991
Yerevan,Armenia,,616052
Vagharshapat,Armenia,,616062
Sevan,Armenia,,616250
Masis,Armenia,,616435
Vanadzor,Armenia,,616530
Gavar,Armenia,,616599
Ijevan,Armenia,,616627
Hrazdan,Armenia,,616629
Armavir,Armenia,,616631
Gyumri,Armenia,,616635
Dilijan,Armenia,,616752
Davtashen,Armenia,,616758
Charentsavan,Armenia,,616785
Avan,Armenia,,616864
Ashtarak,Armenia,,616877
Artik,Armenia,,616887
Abovyan,Armenia,,617026
Erebuni,Armenia,,866152
Nor Nork,Armenia,,866153
Ajapnyak,Armenia,,866164
Kanaker-Zeytun,Armenia,,7647071
Malatia-Sebastia,Armenia,,7670934
Kentron,Armenia,,7670941
Shengavit,Armenia,,11111027
Arabkir,Armenia,,13156582
Saurimo,Angola,,145531
Lucapa,Angola,,145724
Dundo,Angola,,145757
Chitato,Angola,,145778
Cassanguidi,Angola,,145872
Lumbala,Angola,,876130
Luau,Angola,,876177
Cazombo,Angola,,876482
Nzagi,Angola,,2236360
Uíge,Angola,,2236568
Tombôco,Angola,,2236716
Soyo,Angola,,2236967
Songo,Angola,,2236991
Sanza Pombo,Angola,,2237128
Ambrizette,Angola,,2239001
Negage,Angola,,2239069
N'dalatando,Angola,,2239076
Mussende,Angola,,2239149
Mbanza Kongo,Angola,,2239520
Maquela do Zombo,Angola,,2239732
Malanje,Angola,,2239862
Lucala,Angola,,2240393
Lubalo,Angola,,2240416
Luanda,Angola,,2240449
Cunda diá Baze,Angola,,2240686
Golungo Alto,Angola,,2240975
Dondo,Angola,,2241371
Dondo,Angola,,2241372
Cuímba,Angola,,2241623
Cuilo,Angola,,2241635
Cuango-Luzamba,Angola,,2241668
Cazombo,Angola,,2241954
Caxito,Angola,,2242001
Cangandala,Angola,,2242584
Camabatela,Angola,,2242885
Cacuso,Angola,,2243127
Cabinda,Angola,,2243271
Buco Zau,Angola,,2243458
Belize,Angola,,2243646
Barra do Dande,Angola,,2243677
Bailundo,Angola,,2243866
Gama,Angola,,2591933
Xangongo,Angola,,3345492
Alto Hama,Angola,,3345495
Virei,Angola,,3345517
Ucuma,Angola,,3345668
Ucu Seles,Angola,,3345669
Tômbua,Angola,,3345790
Sumbe,Angola,,3346015
Quipungo,Angola,,3346497
Quibala,Angola,,3346598
Porto Amboim,Angola,,3346661
Ondjiva,Angola,,3346821
Nharêa,Angola,,3346942
Mossamedes,Angola,,3347019
Mungo,Angola,,3347111
Menongue,Angola,,3347353
Matala,Angola,,3347424
Luquembo,Angola,,3347615
Luena,Angola,,3347719
Lubango,Angola,,3347762
Longonjo,Angola,,3347853
Londuimbali,Angola,,3347880
Lobito,Angola,,3347939
Cuíto,Angola,,3348078
Catchiungo,Angola,,3348094
Huambo,Angola,,3348313
Ganda,Angola,,3348581
Gabela,Angola,,3348613
Dombe Grande,Angola,,3348896
Cuemba,Angola,,3349181
Cubal,Angola,,3349229
Conda,Angola,,3349324
Chitembo,Angola,,3349515
Chinguar,Angola,,3349723
Cela,Angola,,3350123
Catumbela,Angola,,3350246
Catabola,Angola,,3350372
Capunda,Angola,,3350550
Camucuio,Angola,,3350867
Cambundi Catembo,Angola,,3350917
Camacupa,Angola,,3351014
Caluquembe,Angola,,3351023
Calulo,Angola,,3351064
Caála,Angola,,3351500
Bocoio,Angola,,3351599
Benguela,Angola,,3351663
Balombo,Angola,,3351764
Baía Farta,Angola,,3351786
Andulo,Angola,,3351884
Cambundi,Angola,,7745410
Cafunfo,Angola,,7768322
Santa Clara,Angola,,7855993
Quissecula,Angola,,7860624
Cambundi,Angola,,7900710
Zárate,Argentina,,3427213
Colonia Wanda,Argentina,,3427327
Villa Ortúzar,Argentina,,3427387
Villa Ocampo,Argentina,,3427388
Villa Lugano,Argentina,,3427408
Villaguay,Argentina,,3427428
Villa Gesell,Argentina,,3427431
Villa de Mayo,Argentina,,3427453
Tortuguitas,Argentina,,3427687
Tigre,Argentina,,3427761
Tandil,Argentina,,3427833
San Vicente,Argentina,,3428068
Santo Tomé,Argentina,,3428071
Santos Lugares,Argentina,,3428075
Santa Elena,Argentina,,3428359
San Pedro,Argentina,,3428576
San Pedro,Argentina,,3428577
San Luis del Palmar,Argentina,,3428708
San Lorenzo,Argentina,,3428759
San Javier,Argentina,,3428975
San Isidro,Argentina,,3428992
San Antonio de Padua,Argentina,,3429244
Saladas,Argentina,,3429403
Retiro,Argentina,,3429576
Resistencia,Argentina,,3429577
Reconquista,Argentina,,3429594
Quilmes,Argentina,,3429652
Puerto Rico,Argentina,,3429732
Puerto Iguazú,Argentina,,3429777
Puerto Esperanza,Argentina,,3429786
Puerto Eldorado,Argentina,,3429790
Posadas,Argentina,,3429886
Pontevedra,Argentina,,3429902
Pirané,Argentina,,3429949
Pilar,Argentina,,3429980
Paso de los Libres,Argentina,,3430104
Oberá,Argentina,,3430340
Necochea,Argentina,,3430443
Muñiz,Argentina,,3430513
Morón,Argentina,,3430545
Monte Caseros,Argentina,,3430598
Montecarlo,Argentina,,3430601
Merlo,Argentina,,3430697
Mercedes,Argentina,,3430708
Mercedes,Argentina,,3430709
Haedo,Argentina,,3430835
Mar del Plata,Argentina,,3430863
Luján,Argentina,,3430988
Los Polvorines,Argentina,,3431057
La Plata,Argentina,,3432043
La Paz,Argentina,,3432079
Jardín América,Argentina,,3433349
Ituzaingó,Argentina,,3433360
Hurlingham,Argentina,,3433522
Gualeguaychú,Argentina,,3433658
Gualeguay,Argentina,,3433663
Goya,Argentina,,3433715
Gobernador Virasora,Argentina,,3433753
General Pacheco,Argentina,,3433787
General José de San Martín,Argentina,,3433803
Garupá,Argentina,,3433836
Formosa,Argentina,,3433899
Fontana,Argentina,,3433901
Federal,Argentina,,3433956
Esquina,Argentina,,3434095
El Soberbio,Argentina,,3434291
El Palomar,Argentina,,3434509
Don Torcuato,Argentina,,3435010
Dolores,Argentina,,3435038
Curuzú Cuatiá,Argentina,,3435103
Corrientes,Argentina,,3435217
Concordia,Argentina,,3435261
Concepción del Uruguay,Argentina,,3435264
Colegiales,Argentina,,3435356
Chajarí,Argentina,,3435486
Castelar,Argentina,,3435607
Campana,Argentina,,3435810
Buenos Aires,Argentina,,3435910
Boedo,Argentina,,3436003
Berazategui,Argentina,,3436043
Bella Vista,Argentina,,3436061
Belgrano,Argentina,,3436077
Barranqueras,Argentina,,3436124
Barracas,Argentina,,3436134
Balcarce,Argentina,,3436177
Azul,Argentina,,3436199
Avellaneda,Argentina,,3436230
Aristóbulo del Valle,Argentina,,3436287
Zapala,Argentina,,3832132
Yerba Buena,Argentina,,3832260
Villa Regina,Argentina,,3832647
Villa Paula de Sarmiento,Argentina,,3832653
Villa Nueva,Argentina,,3832662
Villa María,Argentina,,3832694
Villa Dolores,Argentina,,3832756
Villa Constitución,Argentina,,3832778
Villa Carlos Paz,Argentina,,3832791
Villa Ángela,Argentina,,3832811
Villa Allende,Argentina,,3832815
Viedma,Argentina,,3832899
Victoria,Argentina,,3832934
Vera,Argentina,,3833027
Venado Tuerto,Argentina,,3833062
Veinticinco de Mayo,Argentina,,3833112
Ushuaia,Argentina,,3833367
Unquillo,Argentina,,3833412
Tres Isletas,Argentina,,3833794
Tres Arroyos,Argentina,,3833859
Trelew,Argentina,,3833883
Termas de Río Hondo,Argentina,,3834502
Tartagal,Argentina,,3834601
Tafí Viejo,Argentina,,3834813
Sunchales,Argentina,,3834971
Santo Tomé,Argentina,,3835793
Santiago del Estero,Argentina,,3835869
Santa Rosa,Argentina,,3835994
Santa Lucía,Argentina,,3836194
Santa Fe,Argentina,,3836277
San Salvador de Jujuy,Argentina,,3836564
San Ramón de la Nueva Orán,Argentina,,3836620
San Rafael,Argentina,,3836669
San Pedro de Jujuy,Argentina,,3836772
San Nicolás de los Arroyos,Argentina,,3836846
San Miguel de Tucumán,Argentina,,3836873
San Martín de los Andes,Argentina,,3836951
San Martín,Argentina,,3836992
San Luis,Argentina,,3837056
San Justo,Argentina,,3837124
San Juan,Argentina,,3837213
San José de Jáchal,Argentina,,3837240
San Jorge,Argentina,,3837441
San Francisco,Argentina,,3837675
Catamarca,Argentina,,3837702
San Antonio Oeste,Argentina,,3837980
Salta,Argentina,,3838233
Rufino,Argentina,,3838506
Rosario,Argentina,,3838583
Río Tercero,Argentina,,3838793
Río Segundo,Argentina,,3838797
Río Grande,Argentina,,3838854
Río Gallegos,Argentina,,3838859
Río Cuarto,Argentina,,3838874
Río Ceballos,Argentina,,3838902
Rawson,Argentina,,3839307
Rafaela,Argentina,,3839479
Quitilipi,Argentina,,3839490
Punta Alta,Argentina,,3839982
Puerto Madryn,Argentina,,3840092
Presidencia Roque Sáenz Peña,Argentina,,3840300
Pocito,Argentina,,3840860
Plottier,Argentina,,3840885
Pergamino,Argentina,,3841490
Pérez,Argentina,,3841500
Paraná,Argentina,,3841956
Palpalá,Argentina,,3842190
Olavarría,Argentina,,3842670
Nueve de Julio,Argentina,,3842881
Neuquén,Argentina,,3843123
Morteros,Argentina,,3843619
Monteros,Argentina,,3843803
Mendoza,Argentina,,3844421
Marcos Juárez,Argentina,,3844899
Machagai,Argentina,,3845330
Lincoln,Argentina,,3846864
Libertador General San Martín,Argentina,,3846915
Las Breñas,Argentina,,3848687
La Rioja,Argentina,,3848950
La Falda,Argentina,,3851331
La Calera,Argentina,,3852374
Laboulaye,Argentina,,3852468
Junín,Argentina,,3853354
Joaquín V. González,Argentina,,3853491
Jesús María,Argentina,,3853510
Granadero Baigorria,Argentina,,3854895
Gobernador Gálvez,Argentina,,3854985
General Villegas,Argentina,,3855041
General Roca,Argentina,,3855065
General Pinedo,Argentina,,3855074
General Pico,Argentina,,3855075
General Mosconi,Argentina,,3855116
Gálvez,Argentina,,3855244
Firmat,Argentina,,3855554
Famaillá,Argentina,,3855666
Esquel,Argentina,,3855974
Esperanza,Argentina,,3856022
Embarcación,Argentina,,3856231
Embalse,Argentina,,3856235
El Bolsón,Argentina,,3858765
Diamante,Argentina,,3859384
Deán Funes,Argentina,,3859512
Cutral-Có,Argentina,,3859552
Cruz del Eje,Argentina,,3859828
Crespo,Argentina,,3859904
Cosquín,Argentina,,3859965
Coronel Suárez,Argentina,,3860164
Coronda,Argentina,,3860217
Córdoba,Argentina,,3860259
Comodoro Rivadavia,Argentina,,3860443
Cipolletti,Argentina,,3861056
Cinco Saltos,Argentina,,3861061
Chivilcoy,Argentina,,3861344
Chimbas,Argentina,,3861416
Chilecito,Argentina,,3861445
Charata,Argentina,,3861678
Chacabuco,Argentina,,3861953
Centenario,Argentina,,3862144
Caucete,Argentina,,3862240
Catriel,Argentina,,3862254
Juan José Castelli,Argentina,,3862320
Casilda,Argentina,,3862351
Carcarañá,Argentina,,3862655
Capitán Bermúdez,Argentina,,3862738
Cañada de Gómez,Argentina,,3862981
Caleta Olivia,Argentina,,3863379
Bell Ville,Argentina,,3864331
Bella Vista,Argentina,,3864375
Bahía Blanca,Argentina,,3865086
Arroyo Seco,Argentina,,3865385
Arroyito,Argentina,,3865424
Arrecifes,Argentina,,3865436
Añatuya,Argentina,,3865840
Alta Gracia,Argentina,,3866163
Allen,Argentina,,3866242
Alderetes,Argentina,,3866367
Albardón,Argentina,,3866425
Aguilares,Argentina,,3866496
Balvanera,Argentina,,6693228
Villa Santa Rita,Argentina,,6693230
Villa Mercedes,Argentina,,7116866
San Miguel,Argentina,,7645166
San Carlos de Bariloche,Argentina,,7647007
Adrogué,Argentina,,10172104
Ingeniero Pablo Nogués,Argentina,,11147723
Villa Sarmiento,Argentina,,11148100
José C. Paz,Argentina,,12076997
Pago Pago,American Samoa,,5881576
Döbling,Austria,,2600996
Wilten,Austria,,2761164
Wiener Neustadt,Austria,,2761353
Vienna,Austria,,2761369
Wetzelsdorf,Austria,,2761436
Wels,Austria,,2761524
Villach,Austria,,2762372
Telfs,Austria,,2763810
Straßgang,Austria,,2764178
Stockerau,Austria,,2764279
Steyr,Austria,,2764359
Simmering,Austria,,2765028
Sankt Pölten,Austria,,2766429
Sankt Peter,Austria,,2766446
Sankt Peter,Austria,,2766447
Sankt Martin,Austria,,2766522
Salzburg,Austria,,2766824
Saalfelden am Steinernen Meer,Austria,,2766922
Pradl,Austria,,2768442
Perchtoldsdorf,Austria,,2769110
Ottakring,Austria,,2769359
Mödling,Austria,,2771335
Meidling,Austria,,2771706
Lustenau,Austria,,2772173
Linz,Austria,,2772400
Klosterneuburg,Austria,,2773913
Klagenfurt am Wörthersee,Austria,,2774326
Innsbruck,Austria,,2775220
Innere Stadt,Austria,,2775260
Penzing,Austria,,2775371
Hötting,Austria,,2775479
Hohenems,Austria,,2775742
Hietzing,Austria,,2776421
Hernals,Austria,,2776488
Graz,Austria,,2778067
Fünfhaus,Austria,,2779139
Floridsdorf,Austria,,2779469
Feldkirch,Austria,,2779674
Essling,Austria,,2779912
Eggenberg,Austria,,2780361
Dornbirn,Austria,,2780741
Bregenz,Austria,,2781503
Baden,Austria,,2782067
Aspern,Austria,,2782315
Amstetten,Austria,,2782555
Favoriten,Austria,,8063098
Donaustadt,Austria,,11903636
Jakomini,Austria,,11903637
Lend,Austria,,11903638
Geidorf,Austria,,11903639
Sankt Leonhard,Austria,,11903640
Andritz,Austria,,11903641
Gries,Austria,,11903642
Währing,Austria,,12196319
Landstraße,Austria,,12214069
Margareten,Austria,,12214070
Mariahilf,Austria,,12214071
Neubau,Austria,,12214072
Josefstadt,Austria,,12214073
Alsergrund,Austria,,12214080
Brigittenau,Austria,,12214081
Scarborough,Australia,,2061840
Rockingham,Australia,,2062338
Perth,Australia,,2063523
Mount Isa,Australia,,2065594
Morphett Vale,Australia,,2065740
Mandurah,Australia,,2067119
Kwinana,Australia,,2068079
Gosnells,Australia,,2070571
Geraldton,Australia,,2070998
Gawler,Australia,,2071059
Darwin,Australia,,2073124
Byford,Australia,,2075230
Busselton,Australia,,2075265
Bunbury,Australia,,2075432
Australind,Australia,,2077454
Alice Springs,Australia,,2077895
Albany,Australia,,2077963
Adelaide,Australia,,2078025
Yarraville,Australia,,2142457
Wollert,Australia,,2143255
Wodonga,Australia,,2143285
Wheelers Hill,Australia,,2143887
Westmead,Australia,,2143973
Werribee,Australia,,2144095
Warwick,Australia,,2144502
Warrnambool,Australia,,2144528
Warragul,Australia,,2144604
Wantirna South,Australia,,2144728
Wangaratta,Australia,,2144764
Wahroonga,Australia,,2145092
Upper Coomera,Australia,,2145461
Tuggeranong Administrative District,Australia,,2145936
Truganina,Australia,,2145990
Traralgon,Australia,,2146108
Townsville,Australia,,2146142
Toowoomba,Australia,,2146268
Thornbury,Australia,,2146793
Thomastown,Australia,,2146827
Templestowe,Australia,,2147140
Tarneit,Australia,,2147357
Taree,Australia,,2147381
Tamworth,Australia,,2147497
Sydney,Australia,,2147714
Surry Hills,Australia,,2147821
Surfers Paradise,Australia,,2147849
Sunbury,Australia,,2147914
Strathfield,Australia,,2148088
Springvale,Australia,,2148591
South Yarra,Australia,,2148876
Southport,Australia,,2148928
Shepparton,Australia,,2149645
Seven Hills,Australia,,2149847
Seaford,Australia,,2149975
Saint Kilda,Australia,,2150660
Saint Ives,Australia,,2150669
Saint Albans,Australia,,2150717
Ryde,Australia,,2150767
Rowville,Australia,,2150894
Rockhampton,Australia,,2151437
Rockdale,Australia,,2151443
Ringwood,Australia,,2151576
Richmond,Australia,,2151649
Reservoir,Australia,,2151716
Quakers Hill,Australia,,2152329
Preston,Australia,,2152558
Port Melbourne,Australia,,2152658
Port Macquarie,Australia,,2152659
Point Cook,Australia,,2152819
Pascoe Vale,Australia,,2153720
Palm Beach,Australia,,2153925
Pakenham,Australia,,2153953
Orange,Australia,,2154219
Officer,Australia,,2154481
North Melbourne,Australia,,2154912
Northcote,Australia,,2155001
Noble Park,Australia,,2155204
Newcastle,Australia,,2155472
Nerang,Australia,,2155542
Narre Warren,Australia,,2155718
Narangba,Australia,,2155787
Mulgrave,Australia,,2156340
Mount Waverley,Australia,,2156492
Mount Martha,Australia,,2156578
Mount Gambier,Australia,,2156643
Mount Eliza,Australia,,2156663
Mount Druitt,Australia,,2156671
Mosman,Australia,,2156813
Mornington,Australia,,2156878
Morayfield,Australia,,2156934
South Morang,Australia,,2156942
Mooroolbark,Australia,,2156977
Moonee Ponds,Australia,,2157056
Mitcham,Australia,,2157410
Miranda,Australia,,2157495
Mill Park,Australia,,2157635
Mildura,Australia,,2157698
Merrylands,Australia,,2157995
Mernda,Australia,,2158051
Melbourne,Australia,,2158177
Mascot,Australia,,2158538
Maryborough,Australia,,2158562
Marrickville,Australia,,2158626
Maroubra,Australia,,2158651
Manly,Australia,,2158867
Maitland,Australia,,2159045
Mackay,Australia,,2159220
Liverpool,Australia,,2159851
Lilydale,Australia,,2160188
Lidcombe,Australia,,2160258
Launceston,Australia,,2160517
Lara,Australia,,2160560
Langwarrin,Australia,,2160582
Lalor,Australia,,2160706
Lakemba,Australia,,2160744
Kogarah,Australia,,2161185
Keysborough,Australia,,2161532
Kew,Australia,,2161540
Kensington,Australia,,2161608
Hornsby,Australia,,2163137
Hobart,Australia,,2163355
Hawthorn South,Australia,,2163776
Hawthorn,Australia,,2163782
Hampton Park,Australia,,2163990
Griffith,Australia,,2164422
Greenvale,Australia,,2164495
Greensborough,Australia,,2164515
Granville,Australia,,2164691
Goulburn,Australia,,2164837
Gold Coast,Australia,,2165087
Glen Waverley,Australia,,2165171
Glenroy,Australia,,2165200
Glen Iris,Australia,,2165290
Glenferrie,Australia,,2165329
Gladstone,Australia,,2165478
Geelong,Australia,,2165798
Frankston East,Australia,,2166143
Frankston,Australia,,2166144
Footscray,Australia,,2166370
Fairfield,Australia,,2166952
Essendon,Australia,,2167208
Epping,Australia,,2167279
Epping,Australia,,2167280
Engadine,Australia,,2167312
Eltham,Australia,,2167445
Eight Mile Plains,Australia,,2167651
Eastwood,Australia,,2167840
Earlwood,Australia,,2167949
Dubbo,Australia,,2168305
Doreen,Australia,,2168537
Doncaster East,Australia,,2168605
Doncaster,Australia,,2168607
Deer Park,Australia,,2169145
Deception Bay,Australia,,2169220
Dandenong,Australia,,2169460
Croydon,Australia,,2169867
Cronulla,Australia,,2169956
Cranbourne,Australia,,2170079
Craigieburn,Australia,,2170089
Corio,Australia,,2170307
Coorparoo,Australia,,2170435
Coogee,Australia,,2170697
Coffs Harbour,Australia,,2171085
Coburg,Australia,,2171168
Clayton,Australia,,2171400
Wollongong,Australia,,2171507
Chatswood,Australia,,2171707
Cessnock,Australia,,2171845
Caulfield North,Australia,,2171945
Castle Hill,Australia,,2172111
Carrum Downs,Australia,,2172191
Carnegie,Australia,,2172264
Carlton,Australia,,2172293
Carlingford,Australia,,2172303
Capalaba,Australia,,2172434
Canberra,Australia,,2172517
Camberwell,Australia,,2172686
Cairns,Australia,,2172797
Caboolture,Australia,,2172832
Burwood,Australia,,2172995
Burnie,Australia,,2173125
Bundaberg,Australia,,2173323
Buderim,Australia,,2173605
Brunswick,Australia,,2173741
Broken Hill,Australia,,2173911
Brisbane,Australia,,2174003
Brighton,Australia,,2174039
Boronia,Australia,,2174580
Blacktown,Australia,,2175411
Bexley,Australia,,2175974
Berwick,Australia,,2176031
Bentleigh East,Australia,,2176122
Bentleigh,Australia,,2176123
Bendigo,Australia,,2176187
Baulkham Hills,Australia,,2176592
Bathurst,Australia,,2176632
Banora Point,Australia,,2176934
Bankstown,Australia,,2176947
Ballarat,Australia,,2177091
Bairnsdale,Australia,,2177233
Auburn,Australia,,2177513
Ashfield,Australia,,2177565
Ascot Vale,Australia,,2177576
Armidale,Australia,,2177671
Albany Creek,Australia,,2178208
Maroochydore,Australia,,2207268
Cheltenham,Australia,,2207618
Randwick,Australia,,2208285
Dee Why,Australia,,2208305
Umina Beach,Australia,,2208313
Palmerston,Australia,,6301965
Hervey Bay,Australia,,6354957
Sydney Central Business District,Australia,,6619280
Kingsford,Australia,,6621337
Springfield Lakes,Australia,,6693094
Bracken Ridge,Australia,,6943558
Kallangur,Australia,,6943560
North Lakes,Australia,,6943562
The Gap,Australia,,6943585
Caroline Springs,Australia,,7281805
Hoppers Crossing,Australia,,7281807
Logan City,Australia,,7281838
Carindale,Australia,,7281839
Parramatta,Australia,,7281840
Ferntree Gully,Australia,,7281850
Adelaide Hills,Australia,,7302628
Canning Vale,Australia,,7302631
Glenmore Park,Australia,,7302642
Southbank,Australia,,7302683
Docklands,Australia,,7521471
Helensvale,Australia,,7576707
Elwood,Australia,,7932620
Balwyn North,Australia,,7932629
Malvern East,Australia,,7932638
Brighton East,Australia,,7932646
Redbank Plains,Australia,,7932670
Labrador,Australia,,8012683
St Albans,Australia,,8015209
Endeavour Hills,Australia,,8347325
Kellyville,Australia,,8347736
Taylors Lakes,Australia,,8347847
Cherrybrook,Australia,,8347871
Roxburgh Park,Australia,,8347896
Prestons,Australia,,8347914
Wyndham Vale,Australia,,8348078
Ballajura,Australia,,8348081
Willetton,Australia,,8348101
Glenwood,Australia,,8348142
Cabramatta,Australia,,8348460
Campsie,Australia,,8348466
Casula,Australia,,8348477
Cranebrook,Australia,,8348511
Greenacre,Australia,,8348574
Greystanes,Australia,,8348582
Ellenbrook,Australia,,8348596
Alexandra Hills,Australia,,8348615
Calamvale,Australia,,8348765
Yagoona,Australia,,8348768
Highton,Australia,,8348824
Pacific Pines,Australia,,8348920
Robina,Australia,,8348930
Paralowie,Australia,,8349003
Baldivis,Australia,,8349017
Dianella,Australia,,8349051
Duncraig,Australia,,8349052
Morley,Australia,,8349083
Thornlie,Australia,,8349108
Landsdale,Australia,,8349177
Punchbowl,Australia,,8349222
Parafield Gardens,Australia,,8349238
Hillside,Australia,,8349243
St Clair,Australia,,8349321
Kirwan,Australia,,8349354
Bundoora,Australia,,8349381
Forest Lake,Australia,,9957340
Sunnybank Hills,Australia,,9957350
Rochedale South,Australia,,9958114
Keilor East,Australia,,9972422
Cranbourne East,Australia,,9972515
Cranbourne North,Australia,,9972516
Cranbourne West,Australia,,9972517
Narre Warren South,Australia,,9972518
Dandenong North,Australia,,9972522
Frankston South,Australia,,9972527
Sunshine West,Australia,,9972578
Altona Meadows,Australia,,9972579
Taylors Hill,Australia,,9972586
Hurstville,Australia,,9972762
West Pennant Hills,Australia,,9972964
Melbourne City Centre,Australia,,11523810
Adelaide city centre,Australia,,11523825
